,id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year,star_names,distance,mass,radius,luminosity
96,96,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,0.0,31.0,T6.5,0.040092696000000004,0.09659721999999998,0.0,Altair,0017,1.8,1.8,10.5
97,97,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,0.0,31.0,T6.5,0.040092696000000004,0.09659721999999998,0.0,Altair,0017,1.8,1.8,10.5
98,98,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,0.0,31.0,T6.5,0.040092696000000004,0.09659721999999998,0.0,Altair,0017,1.8,1.8,10.5
99,99,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,0.0,31.0,T6.5,0.040092696000000004,0.09659721999999998,0.0,Altair,0017,1.8,1.8,10.5
100,100,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000.0,Altair,0017,1.8,1.8,10.5
101,101,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000.0,Altair,0017,1.8,1.8,10.5
102,102,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000.0,Altair,0017,1.8,1.8,10.5
103,103,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000.0,Altair,0017,1.8,1.8,10.5
104,104,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000.0,Acrux,0320,18,8.9,"25,000"
105,105,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000.0,Acrux,0320,18,8.9,"25,000"
106,106,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000.0,Acrux,0320,18,8.9,"25,000"
107,107,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000.0,Acrux,0320,18,8.9,"25,000"
108,108,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000.0,Acrux,0320,18,8.9,"25,000"
109,109,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,0.040092696000000004,0.09659721999999998,2000.0,Acrux,0320,18,8.9,"25,000"
110,110,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,0.0,57.0,L2β,0.021955524,0.16647606,0.0,Acrux,0320,18,8.9,"25,000"
